GRB     		idGRB   	             Author_LC     Author_spectrum                    	z	T90    	Class          	logFa        	logFaErr    	logTa       	logTaErr    	Alpha       	AlphaErr     	beta	betaErr	ktotal	dk	logTarescaled	logTaErr	logLumTa	logLumTaErr
121217A	121217A	Li[159],Elliott[1]	Li[159]	3.1	778	L-VL	-12.2295	0.1152	3.47558	0.0991	0.775179	0.0285885	0.87	0.04	0.832411552	0.046980874	2.862796143	0.0991	46.6134353	0.117778803
130215A	130215A	Kann[100]	Kann[100]	0.6	65	SN-B-XRR	-13.66	0.24	5.96	0.13	2.09	0.54	0.94	0.05	0.972193697	0.022846728	5.755880017	0.13	43.50126144	0.240216907
130420A	130420A	GCN[13]	[3]	1.297	123.5	L	-12.86884879	0.06637761	4.259018705	0.095952031	1.028031328	0.061396139	1.1	0.06	1.086716096	0.054223042	3.89785771	0.095952031	45.16472572	0.069825219
130427A	130427A	Kann[100]	Kann[100]	0.34	241.07	SN-B	-11.2664331	0.00612255	4.42073731	0.0067676	1.27134338	0.00733327	0.72	0.01	0.921320334	0.002696425	4.293632512	0.0067676	45.28411504	0.006253094
130606A	130606A	Kann[100]	Kann[100]	5.91	276.58	XRR	-12.04	0.09	4.25	0.05	1.71	0.03	0.83	0.12	0.719927448	0.166991748	3.410521953	0.05	47.40270369	0.135085221
130702A	130702A	Kann[100]	Kann[100]	0.15	59	SN-A-XRF	-12.13	0.02	5.07	0.01	1.33	0.02	0.44	0.09	0.924717783	0.011631632	5.00930216	0.01	43.62031007	0.020732637
130831A	130831A	Kann[100]	Kann[100]	0.48	32.5	SN-B-XRR	-11.42	0.03	3.87	0.01	1.62	0.01	1	0.05	1	0.019602104	3.699738285	0.01	45.51990518	0.031184493
140206A	140206A	GCN[14]	[3]	2.73	93.6	L	-10.87899093	0.019997825	2.792836593	0.061446651	0.782606216	0.017860622	0.8	0.03	0.768525414	0.030350795	2.221127761	0.061446651	47.79624735	0.026345377
140423A	140423A	GCN[15]	Kann[100]	3.26	134	L	-12.77456061	0.051904755	4.184892114	0.057199192	1.024631477	0.027846273	0.54	0.08	0.513418584	0.059526538	3.555482515	0.057199192	45.91095638	0.072315315
140430A	140430A	Kann[100]	Kann[100]	1.6	173.59	XRR	-12.35	0.02	3.84	0.04	0.78	0.03	1.05	0.08	1.048935219	0.080181569	3.425026652	0.04	45.89342142	0.038756915
140801A	140801A	GCN[16]	Kann[100]	1.32	7	L	-12.7941683	0.03623913	4.204885049	0.047598235	0.861959166	0.016398052	0.67	0.16	0.757511037	0.101999429	3.839397064	0.047598235	45.10156196	0.068796512
140907A	140907A	GCN[17]	[3]	1.21	79.2	L	-12.43108221	0.05253742	4.201712953	0.073580616	0.985033914	0.036082526	1	0.07	1	0.055509476	3.857320679	0.073580616	45.4917626	0.057804412
141121A	141121A	GCN[18]	[3]	1.47	549.9	UL	-13.6665	0.125949	5.982598	0.078746	1.859053	0.276557	0.9	0.07	0.913545757	0.057823126	5.589901047	0.078746	44.42610042	0.128913863
141221A	141221A	Kann[100]	Kann[100]	1.45	33.17	XRR	-11.3914	0.019721	2.813159	0.020312	1.248584	0.033612	0.26	0.09	0.515248929	0.041553756	2.423992916	0.020312	46.43779391	0.040195333
150323A	150323A	GCN[19]	[3]	0.593	149.6	L	-13.07349914	0.05718795	3.67566044	0.124149945	0.561832732	0.056789811	1.1	0.21	1.047662931	0.102440478	3.473444664	0.124149945	44.10786493	0.071230362
150413A	150413A	GCN[20]	[3]	3.139	263.6	L	-12.03944322	0.03439046	4.502865362	0.019262313	2.371952053	0.046265941	1.3	1.15	1.531329426	2.501460834	3.885969936	0.019262313	47.08126397	0.710262811
150910A	150910A	Kann[181]	Kann[200]	1.3585	112.2	L	-10.88	0.03	2.99	0.025	1.239	0.008	0.53	0.14	0.668130252	0.080258221	2.617364119	0.025	46.99207859	0.060179789
151027A	151027A	GCN[21]	[3]	0.81	129.69	L	-11.45078032	0.017120265	4.619188487	0.010891731	1.852192054	0.014864967	0.97	0.04	0.982357675	0.023314367	4.361509912	0.010891731	46.03370034	0.01998351
151029A	151029A	GCN[50]	[3] 1.423	8.95	L	-12.2958	0.126444	3.059955	0.195675	0.81764	0.07911	1.7	0.39	1.858007188	0.641295849	2.675601586	0.195675	46.07025774	0.196105699
160131A	160131A	GCN[22]	[3]	0.972	325	L	-11.1733	0.041241	4.001806	0.050707	1.287451	0.038892	0.97	0.04	0.979834648	0.0266142	3.706899089	0.050707	46.50537071	0.042894897
160227A	160227A	GCN[23]	[3]	2.38	316.5	L	-12.57792608	0.508355475	3.999011064	0.579293143	1.090413855	0.340707363	0.7	0.04	0.693944902	0.033805546	3.470094364	0.579293143	45.90852811	0.508795532
160314A	160314A	GCN[24]	[3]	0.726	8.73	L	-12.58653098	0.156278825	2.806841043	0.384008389	0.607458301	0.053103446	0.9	0.09	0.946882131	0.046513306	2.569800252	0.384008389	44.76521482	0.157728237
160425A	160425A	GCN[25]	[3]	0.555	304.58	L	-12.47807195	0.257417475	3.623298946	0.431715816	0.859364442	0.204328793	1.5	0.09	1.246996391	0.049546657	3.431568553	0.431715816	44.70930957	0.257995188
160804A	160804A	GCN[26]	[3]	0.736	144.2	L	-12.97422997	0.06350356	4.721109717	0.077460918	1.018609295	0.087948755	0.9	0.07	0.946335273	0.036538812	4.481559996	0.077460918	44.39182724	0.065680165
161014A	161014A	GCN[27]	[3]	2.823	18.3	L	-12.68121537	0.140665095	3.993669477	0.162302518	1.360775607	0.140233968	0.8	0.06	0.764749392	0.061533363	3.411265179	0.162302518	46.02701791	0.144940574
161023A	161023A	Kann[100]	Kann[100]	2.71	44	L	-11.91	0.05	4.55	0.04	1.36	0.02	0.66	0.08	0.640343301	0.067160838	3.98062609	0.04	46.67827374	0.067637228
161219B	161219B	GCN[28]	Kann[100]	0.1475	6.94	L-SN-C	-12.9799	0.075567	6.538578	0.110939	0.890149	0.142427	0.49723	0.01068	0.933164348	0.001371206	6.478825306	0.110939	42.75840034	0.075569695
170113A	170113A	GCN[29]	[3]	1.968	20.66	L	-12.5021	0.110016	3.874501	0.186127	1.095671	0.149224	0.8	0.04	0.804465124	0.035006729	3.402037103	0.186127	45.84704352	0.111627397
170405A	170405A	GCN[30]	[3]	3.51	164.7	L	-12.75617785	0.259204335	4.195041244	0.180550776	1.640801939	0.148582399	0.8	0.05	0.739885799	0.055724394	3.540864702	0.180550776	46.164809	0.261259937
170604A	170604A	GCN[31]	[3]	1.329	26.7	L-XRF	-12.22060121	0.232991325	3.774652541	0.434719251	0.647615644	0.061559323	0.8	0.05	0.84443476	0.035695904	3.407483052	0.434719251	45.72960481	0.233713481
170607A	170607A	GCN[32]	[3]	0.557	23	L	-11.90836051	0.023498935	4.186609144	0.035486555	0.979570761	0.024255934	0.9	0.04	0.956689789	0.016943393	3.994320531	0.035486555	45.16770156	0.024725691
170714A	170714A	GCN[33]	[3]	0.793	1000	UL	-13.21717412	0.263786405	4.460402666	0.217775049	1.851865027	0.533548275	0.9	0.03	0.943282921	0.016523209	4.206822376	0.217775049	44.22702152	0.263896078
180115A	180115A	GCN[34]	[3]	2.487	40.9	L	-11.6085	0.057564	3.061361	0.086722	0.97054	0.036237	0.9	0.06	0.88258147	0.066142867	2.518909053	0.086722	47.02877901	0.066128125
180205A	180205A	GCN[35]	[3]	1.409	15.5	L	-12.8826962	0.024500725	5.013912227	0.030888032	1.074976156	0.047994512	0.9	0.09	0.915833067	0.072469005	4.632075427	0.030888032	45.16552013	0.042204978
180325A	180325A	GCN[36]	Kann[100]	2.248	94.1	L	-12.71701314	0.072160605	3.915431703	0.04578387	1.426557765	0.049597015	1.13703	0.1041	1.175186363	0.144117691	3.403815682	0.04578387	45.93789724	0.089686667
181010A	181010A	GCN[37]	[3]	1.39	16.4	L	-13.2570989	0.24058559	3.52393473	0.23056608	1.57087816	0.28970293	0.9	0.05	0.916558543	0.039929569	3.145536829	0.23056608	44.77688905	0.241328383
181201A	181201A	GCN[38]	Kann[100]	0.45	19.2	L	-11.69553286	0.02647635	4.749371564	0.024123625	1.151212065	0.006098432	0.57781	0.02953	0.85481482	0.009379261	4.588003562	0.024123625	45.10933264	0.026901751
190627A	190627A	GCN[39]	[3]	1.942	1.6	S	-12.10244638	0.05330265	4.730085948	0.047221072	1.621722725	0.050316798	1	0.08	1	0.08632717	4.26144328	0.047221072	46.32703797	0.065167312
191011A	191011A	GCN[40]	[3]	1.722	7.37	L	-12.81844862	0.089478465	3.303409268	0.236045417	0.811693499	0.140267147	0.9	0.09	0.904713744	0.081535536	2.868521147	0.236045417	45.43932508	0.097664374
200613A	200613A	GCN[41]	[3]	1.2255	381	L	-12.785	0.113922	5.199503	0.166694	0.923123	0.132474	0.9	0.09	0.923118044	0.066462971	4.852075401	0.166694	45.11678243	0.118135262
200829A	200829A	GCN[42]	[3]	1.25	13.04	L	-10.8632926	0.026536295	3.317224889	0.036463099	1.301597531	0.022446943	0.9	0.04	0.922107911	0.029910607	2.965042371	0.036463099	47.05928755	0.030043751
201014A	201014A	GCN[43]	[3]	4.56	36.2	L	-13.75414264	0.092273985	5.031583547	0.110179359	1.038297501	0.170451437	0.9	0.15	0.842349885	0.21677008	4.286508755	0.110179359	45.49289193	0.144931219
201015A	201015A	GCN[44]	[3]	0.426	9.78	L	-12.87444057	0.09441961	4.275440697	0.22980341	0.481066589	0.027143694	1.1	0.24	1.036124523	0.088246308	4.121321171	0.22980341	43.95738803	0.101406241
201020A	201020A	GCN[45]	[3]	2.903	14.17	L	-12.09100459	0.128557905	3.793642654	0.192264332	0.728841688	0.056032454	1.1	0.11	1.145881888	0.171643944	3.202244103	0.192264332	46.82211689	0.144080315
201021C	201021C	GCN[46]	[3]	1.07	24.38	L	-11.16908718	0.102098245	2.880419844	0.137291034	1.034878549	0.035385137	0.6	0.09	0.747501144	0.048945907	2.564449499	0.137291034	46.49521092	0.105984591
210204A	210204A	GCN[47]	[3]	0.876	200	L	-12.00734041	0.01721397	4.489640954	0.039841418	1.06782958	0.028803286	0.73	0.16	0.843775935	0.084936761	4.21640812	0.039841418	45.49490013	0.046984242
210210A	210210A	GCN[48]	[3]	0.715	6.6	L	-11.7476058	0.033075635	3.875592855	0.030219705	1.446570253	0.03161784	0.81	0.07	0.902588543	0.034080765	3.641328731	0.030219705	45.5670918	0.036917585
