"","Redshift_crosscheck","log10T90","log10Fa","log10Ta","Alpha","Beta","Gamma","log10Fluence","PhotonIndex","log10NH","log10PeakFlux","T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","FluenceErr","PhotonIndexErr","PeakFluxErr","is_optical"
"050904A",6.295,2.25904409357523,-11.4141427314807,4.34819637148309,1.86582572424239,0.926554085547202,2.02133275481043,-5.31605286924849,1.25,22.3938856786211,-0.207608310501746,5.171156949,0.878640498443869,0.616789116525615,0.291521574494943,0.210993899275735,1.64231222999378e-06,0.345093713004454,1.35439552601652,1
"051028A",3.6,1.20411998265592,-10.9208140571457,3.78929851504016,1.22617340379997,0.934325012549839,2.02325848377648,NA,NA,NA,NA,5.171156949,0.767005469333688,0.668055659117682,0.292946021139731,0.203493319236534,2.01592854889671e-06,0.346311350047795,2.24180116444628,1
"051111A",1.55,1.77655591070326,-9.99915091150366,3.36870224701627,1.23032638259351,0.896712722568867,1.93441196620274,-5.38933983691012,1.32,21.7919655917565,0.424881636631067,5.171156949,0.841670064359969,0.592177227843515,0.274979853078917,0.201523011414935,4.96621300256881e-06,0.333438329016482,6.56296302816249,1
"060607A",3.07,1.99694924849538,-10.4188106089101,3.62054379973058,1.33679614564696,0.904692753092901,1.96558442175304,-5.59345981956604,1.47,21.7961460714919,0.146128035678238,5.171156949,0.804928981322599,0.600366002881621,0.277395610771954,0.204116646546746,3.00972090184164e-06,0.359107005041359,4.25204236092627,1
"060904B",0.7,2.2341881478532,-10.5883534453498,3.7590325669501,1.30953280753281,0.925945240139644,1.99131444327695,-5.79048498545737,1.64,21.5912282717963,0.387389826338729,5.171156949,0.775256271187084,0.60612567257617,0.282871268195849,0.196814314741617,2.73648014642753e-06,0.3496056401133,3.38875349952322,1
"061007A",1.26,1.87685264760134,-9.06316736281652,3.13344227804525,1.57334794819469,0.943646757745928,2.02078722367267,-4.35261702988538,1.03,21.7418619678783,1.16435285578444,5.171156949,0.890368040482369,0.64774535592478,0.279463885936541,0.19926753083088,8.04477018882773e-06,0.349637436533115,11.3673764367527,1
"061126A",1.1588,2.28103336724773,-10.6429787860363,3.64132019364013,1.18575908719508,0.915190937975956,2.00490979996577,-5.16941133131486,1.32,21.3805820432409,0.989449817666692,5.171156949,0.782289455778941,0.628222359538955,0.274005538608674,0.201378810356391,2.03567456719105e-06,0.385796311272451,2.72701410294692,1
"070125A",1.55,1.77815125038364,-10.9015023731412,4.25845963241837,1.59147961738547,0.886656876010672,1.98855513549153,NA,NA,NA,NA,5.171156949,0.79625834004854,0.632386001143638,0.26180008590973,0.193472988629488,2.54047933059795e-06,0.380999388307757,1.71203813356419,1
"070411A",2.95,2.08902150079501,-10.6614707977792,3.54512517275081,1.39074047916452,0.939257089700753,1.98821022888972,-5.56863623584101,1.72,22.3213954223232,-0.0409586076789063,5.171156949,0.830512100630995,0.622020566589438,0.30017096914321,0.202638283921516,1.75630372671824e-06,0.384111040532587,2.78260719386677,1
"070612A",0.671,2.56253076886226,-10.6643135460757,4.29490176167059,2.01750384753001,0.928442991651922,2.03193961999534,-4.97469413473523,1.69,NA,0.178976947293169,5.171156949,0.80727012502061,0.584321630046158,0.400005002855115,0.214388055509573,2.8854406758007e-06,0.206449494819642,2.08023616060849,1
"071010A",0.99,0.792391689498254,-11.0097517059946,4.22728014498134,1.81234833830586,0.884516372529736,2.01081508115782,-6.69897000433602,2.33,22.1395485191724,-0.0969100130080563,5.171156949,0.796969627900217,0.594489190334362,0.275953286103564,0.195304338134514,2.11383472606817e-06,0.319695095585404,1.52125288395122,1
"071010B",0.947,1.55266821611219,-10.3620156458001,3.50251949809925,1.03680484017768,0.906188744008195,1.98617659031711,-5.35654732351381,1.53,21.3004715683883,0.886490725172482,5.171156949,0.841972921086861,0.593402161458891,0.280450720047944,0.215986767651673,2.05488147242835e-06,0.447536567920244,3.48951450068644,1
"071112C",0.82,1.17609125905568,-10.4032286685627,3.25373237661387,1.17533084295455,0.879913657174972,1.96939084247101,-5.52287874528034,1.09,20.5643192002043,0.903089986991944,5.171156949,0.812424930997323,0.613956477483681,0.266866321274483,0.19167345663978,1.70079236111859e-06,0.463945260311324,3.29932851353101,1
"080319C",1.95,1.53071183798166,-10.6684390703431,3.53623804698494,1.69701999520679,0.913754040542593,1.97935760017837,-5.44369749923271,1.37,21.7503741516549,0.716003343634799,5.171156949,0.767351691255829,0.590954141048344,0.397323455738987,0.207004899718235,1.9914371662974e-06,0.348298899430877,3.05812218506607,1
"080330A",1.51,1.78318869107526,-10.5274185472066,3.64042465182194,1.26531718071842,0.877907083627025,1.97507831711918,-6.46852108295774,2.53,21.6909072086586,-0.0457574905606751,5.171156949,0.784901545370465,0.599984472469636,0.272340103751185,0.211109545451254,2.53447031792443e-06,0.376070782554668,3.53651211139832,1
"080413B",1.1,0.843855422623161,-11.1393181743893,4.43526683966263,1.83914729985561,0.907784505325222,2.0081307017448,-5.49485002168009,1.26,21.3132976260869,1.2718416065365,5.171156949,0.844904696161984,0.620293351732969,0.277349693055528,0.192306703165898,2.05990701997781e-06,0.333084662904416,1.51115359637141,1
"080603A",1.69,1.77815125038364,-10.695921119596,3.73852616692566,1.20604909239641,0.90574028184772,2.00530989047766,NA,NA,NA,NA,5.171156949,0.764855445129845,0.649598016777649,0.283762204668398,0.196920393366508,2.27141050605243e-06,0.363719282878789,2.74538735893553,1
"080603B",2.6893,1.77815125038364,-10.6233813083771,3.91194960677745,1.34507228609575,0.882738443144279,1.98049450677552,-5.61978875828839,1.21,21.3161150861621,0.544068044350276,5.171156949,0.744368919529571,0.605201623334486,0.264628858424407,0.197817305138437,3.22326426021784e-06,0.330931466610164,3.40866123580092,1
"081228A",3.44,0.477121254719662,-10.8750132016766,3.38118395973577,1.30027915398102,0.941183330074743,2.00384693353682,-7.05060999335509,2.1,21.1693602061994,-0.221848749616356,5.171156949,0.762888972612087,0.638676195187086,0.27786112002877,0.210147621136552,1.00085013688392e-06,0.418156116489414,1.7854224369496,1
"090313A",3.38,1.89387267879508,-10.2916980617426,3.63482091771727,1.18251337653882,0.923633879357445,1.9707534977371,-5.85387196432176,1.91,22.4411576287856,-0.0969100130080563,5.171156949,0.793718806105817,0.605438514527348,0.282073717746858,0.195389757887318,3.46361212054149e-06,0.378488282003861,4.9708562026161,1
"090726A",2.71,1.77305469336426,-10.6153586557152,3.56856366633087,1.25086987324864,0.95537769672947,2.00665805448909,-6.06550154875643,2.25,22.0268926446161,-0.154901959985743,5.171156949,0.777195177129161,0.625659349945523,0.287859866692389,0.206002744299082,1.8890686031375e-06,0.383541116608922,2.73184611228914,1
"091024A",1.09,1.99519629159718,-10.2048321049238,3.80119318627547,1.51753718130589,0.892041451449135,1.93954462751294,-5.21467016498923,1.2,22.2351242640195,0.301029995663981,5.171156949,0.801362715979047,0.61216342663035,0.277009331144064,0.185978328458134,5.65879871251733e-06,0.287248481933438,5.71332867591468,1
"000926A",2.04,1.39794000867204,-10.8605261040488,4.23118097454324,1.75943237017218,0.916599497951259,2.01110746587042,NA,NA,NA,NA,5.171156949,0.827660020283902,0.65389439792829,0.293384266877723,0.19416267362819,2.64127374343558e-06,0.318835383125333,1.83780372534016,1
"970508A",0.83,1.12057393120585,-11.2915218298013,4.62003633362784,1.46015725712989,0.868082342816862,1.93822605882503,NA,NA,NA,NA,5.171156949,0.80752163501987,0.652792575964957,0.293291217842421,0.210423580194429,2.02153911974151e-06,0.42713008420145,1.33236962074915,1
